cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha,humedad_suelo,temperatura_cosecha,proteinas,aceite
soja,1941,1941/1942,Santa Fe,82,Belgrano,82007.0,90,90,153,1700,21.24,27.5,37.47,22.06
soja,1941,1941/1942,Santa Fe,82,Caseros,82014.0,45,35,18,514,38.52,33.2,38.18,21.27
soja,1941,1941/1942,Santa Fe,82,ConstituciÃ³n,82028.0,50,50,100,2000,31.96,20.5,38.24,23.58
soja,1941,1941/1942,Santa Fe,82,General LÃ³pez,82042.0,80,65,32,492,27.96,25.1,43.4,21.71
soja,1941,1941/1942,Santa Fe,82,Iriondo,82056.0,70,70,112,1600,14.68,34.2,39.79,19.28
soja,1941,1941/1942,Santa Fe,82,Rosario,82084.0,180,130,260,2000,14.68,18.4,35.33,22.35
soja,1941,1941/1942,Santa Fe,82,San JerÃ³nimo,82105.0,50,20,30,1500,11.74,29.4,38.38,19.81
soja,1941,1941/1942,Santa Fe,82,San Lorenzo,82119.0,60,60,95,1583,35.99,27.3,39.53,19.63
soja,1941,1941/1942,Santiago del Estero,86,Belgrano,86042.0,60,60,36,600,28.03,28.6,39.68,20.35
soja,1942,1942/1943,Buenos Aires,6,Adolfo Alsina,6007.0,5,0,0,0,31.24,22.0,39.02,18.07
soja,1942,1942/1943,Buenos Aires,6,Azul,6049.0,5,5,2,400,10.62,21.3,34.13,23.81
soja,1942,1942/1943,Buenos Aires,6,Bragado,6112.0,10,7,3,429,39.1,28.7,32.4,21.19
soja,1942,1942/1943,Buenos Aires,6,Carlos Tejedor,6154.0,80,10,1,100,34.97,19.3,36.05,22.64
soja,1942,1942/1943,Buenos Aires,6,Castelli,6168.0,28,0,0,0,16.37,23.4,37.13,19.55
soja,1942,1942/1943,Buenos Aires,6,ColÃ³n,6175.0,320,320,320,1000,15.45,18.8,32.74,22.48
soja,1942,1942/1943,Buenos Aires,6,Coronel Dorrego,6189.0,6,0,0,0,15.5,15.2,41.78,21.4
soja,1942,1942/1943,Buenos Aires,6,Esteban EcheverrÃ­a,6260.0,4,4,4,1000,19.13,34.4,36.13,20.54
soja,1942,1942/1943,Buenos Aires,6,General Pinto,6351.0,1,0,0,0,25.74,23.6,42.96,23.82
soja,1942,1942/1943,Buenos Aires,6,General Viamonte,6385.0,220,150,75,500,22.96,34.4,33.85,20.96
soja,1942,1942/1943,Buenos Aires,6,General Villegas,6392.0,10,1,0,0,18.74,17.8,32.68,21.94
soja,1942,1942/1943,Buenos Aires,6,Lincoln,6469.0,3,0,0,0,28.36,26.7,37.79,18.09
soja,1942,1942/1943,Buenos Aires,6,Lomas de Zamora,6490.0,8,8,7,875,14.18,19.0,34.27,19.81
soja,1942,1942/1943,Buenos Aires,6,MaipÃº,6511.0,2,0,0,0,18.76,30.8,43.25,23.33
soja,1942,1942/1943,Buenos Aires,6,Navarro,6574.0,15,15,13,867,20.99,30.7,32.12,22.55
soja,1942,1942/1943,Buenos Aires,6,Necochea,6581.0,50,0,0,0,23.68,17.3,36.95,21.22
soja,1942,1942/1943,Buenos Aires,6,9 de Julio,6588.0,40,30,15,500,33.56,33.2,43.12,23.4
soja,1942,1942/1943,Buenos Aires,6,Pergamino,6623.0,180,180,180,1000,15.99,18.9,36.61,20.92
soja,1942,1942/1943,Buenos Aires,6,PuÃ¡n,6651.0,40,0,0,0,25.43,27.3,33.12,21.4
soja,1942,1942/1943,Buenos Aires,6,Quilmes,6658.0,2,2,2,1000,27.77,34.7,35.63,20.29
soja,1942,1942/1943,Buenos Aires,6,Rauch,6672.0,30,30,15,500,11.39,32.6,37.98,21.72
soja,1942,1942/1943,Buenos Aires,6,Rojas,6686.0,150,150,150,1000,28.23,34.1,34.22,19.91
soja,1942,1942/1943,Buenos Aires,6,Roque PÃ©rez,6693.0,50,50,40,800,15.12,21.9,37.6,20.31
soja,1942,1942/1943,Buenos Aires,6,Saavedra,6700.0,1,0,0,0,11.95,17.1,42.04,23.8
soja,1942,1942/1943,Buenos Aires,6,Tornquist,6819.0,22,0,0,0,38.47,18.8,42.47,18.67
soja,1942,1942/1943,Buenos Aires,6,25 de Mayo,6854.0,20,20,16,800,38.97,25.0,32.59,18.63
soja,1942,1942/1943,Buenos Aires,6,Villarino,6875.0,100,0,0,0,34.25,30.9,33.93,18.26
soja,1942,1942/1943,Corrientes,18,Empedrado,18042.0,2,1,1,1000,19.14,18.0,35.3,19.92
soja,1942,1942/1943,Corrientes,18,General Paz,18063.0,8,5,4,800,12.93,28.2,39.14,20.39
soja,1942,1942/1943,Corrientes,18,ItuzaingÃ³,18084.0,8,7,3,429,30.53,21.5,36.33,18.57
soja,1942,1942/1943,Corrientes,18,Saladas,18126.0,1,1,1,1000,23.2,21.8,42.13,21.29
soja,1942,1942/1943,Corrientes,18,San Cosme,18133.0,1,1,1,1000,13.66,28.2,40.6,21.5
soja,1942,1942/1943,Chaco,22,NapalpÃ­,22049.0,19,0,0,0,24.86,24.3,33.21,22.51
soja,1942,1942/1943,Chaco,22,RÃ­o Teuco,22063.0,5,0,0,0,11.03,31.2,39.49,23.86
soja,1942,1942/1943,Chaco,22,Campo del Cielo,22105.0,26,12,3,250,37.28,18.1,33.36,21.72
soja,1942,1942/1943,Entre RÃ­os,30,Concordia,30015.0,120,80,32,400,17.76,30.8,35.06,18.67
soja,1942,1942/1943,Entre RÃ­os,30,FederaciÃ³n,30028.0,50,30,12,400,29.88,16.3,34.13,18.53
soja,1942,1942/1943,Entre RÃ­os,30,Feliciano,30042.0,4,2,1,500,19.35,18.9,34.08,22.67
soja,1942,1942/1943,Entre RÃ­os,30,GualeguaychÃº,30056.0,109,0,0,0,25.6,28.1,39.4,21.9
